requirement,description,coverage_by,starts_branch,comments
4,Context of Organization,C,TRUE,NONE
4.1,Understanding the Organization and Its Context,S,FALSE,NONE
4.2,Understanding the Needs and Expectations of Interested Parties,C,FALSE,NONE
4.2.a,Understanding the Needs and Expectations of Interested Parties,S,FALSE,NONE
4.2.b,Understanding the Needs and Expectations of Interested Parties,S,FALSE,NONE
4.3,Determining the Scope of the Quality Management System,S,FALSE,NONE
4.3.a,Determining the Scope of the Quality Management System,P,FALSE,"As GMS already established, no need for deep dive"
4.3.b,Determining the Scope of the Quality Management System,P,FALSE,"As GMS already established, no need for deep dive"
4.3.c,Determining the Scope of the Quality Management System,P,FALSE,"As GMS already established, no need for deep dive"
4.4,Quality Management System and Processes,S,FALSE,NONE
4.4.1,Quality Management System and Processes,P,FALSE,Subclauses a to h basically establish a list of things to consider. Can be covered at this level.
4.4.1.a,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.b,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.c,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.d,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.e,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.f,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.g,Quality Management System and Processes,P,FALSE,See parent note
4.4.1.h,Quality Management System and Processes,P,FALSE,See parent note
4.4.2,Documented Information,C,FALSE,NONE
4.4.2.a,Maintain Documented Information,S,FALSE,Should be included on every audit
4.4.2.b,Retain Documented Information,S,FALSE,Should be included on every audit
5,Leadership,C,TRUE,NONE
5.1,Leadership and Commitment,S,FALSE,NONE
5.1.1,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.a,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.b,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.c,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.d,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.e,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.f,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.g,Leadership and Commitment - General,P,FALSE,NONE
5.1.1.h,Leadership and Commitment - General,P,FALSE,NONE
5.1.2,Customer Focus,C,FALSE,NONE
5.1.2.a,Customer Focus,S,FALSE,NONE
5.1.2.b,Customer Focus,S,FALSE,NONE
5.1.2.c,Customer Focus,S,FALSE,NONE
5.1.2.d,Customer Focus,S,FALSE,NONE
5.2,Policy,C,FALSE,NONE
5.2.1,Establish the Quality Policy,C,FALSE,NONE
5.2.1.a,Establish the Quality Policy,S,FALSE,NONE
5.2.1.b,Establish the Quality Policy,S,FALSE,NONE
5.2.1.c,Establish the Quality Policy,S,FALSE,NONE
5.2.1.d,Establish the Quality Policy,S,FALSE,NONE
5.2.2,Communicate the Quality Policy,C,FALSE,NONE
5.2.2.a,Communicate the Quality Policy,S,FALSE,NONE
5.2.2.b,Communicate the Quality Policy,S,FALSE,NONE
5.2.2.c,Communicate the Quality Policy,S,FALSE,NONE
5.3,Organizational Roles and Responsibilities,S,FALSE,5.3 Self-Coverage needed to address shall's related to management representative
5.3.a,Organizational Roles and Responsibilities,S,FALSE,NONE
5.3.b,Organizational Roles and Responsibilities,S,FALSE,NONE
5.3.c,Organizational Roles and Responsibilities,S,FALSE,NONE
5.3.d,Organizational Roles and Responsibilities,S,FALSE,NONE
5.3.e,Organizational Roles and Responsibilities,S,,
6,Planning,C,,
6.1,Actions to Address Risks and Opportunities,C,,
6.1.1,Actions to Address Risks and Opportunities,S,,
6.1.1.a,Actions to Address Risks and Opportunities,P,,
6.1.1.b,Actions to Address Risks and Opportunities,P,,
6.1.1.c,Actions to Address Risks and Opportunities,P,,
6.1.1.d,Actions to Address Risks and Opportunities,P,,
